DEVICE, MODEL
vili, Xiaomi 11T Pro
selene, Redmi 10
odin, Xiaomi MIX4
elish, Xiaomi Pad 5 Pro (WiFi)
enuma, Xiaomi Pad 5 Pro (5G)
nabu, Xiaomi Pad 5
chopin, Redmi Note 10 Pro (China) / POCO X3 GT
camellia, Redmi Note 10 (China) / POCO M3 Pro / Redmi Note 11 SE
biloba, Redmi Note 8 (21年款)
ares, Redmi K40 游戏增强版 / POCO F3 GT
cetus, Xiaomi MIX Fold
renoir, Xiaomi 11 青春版
star, Xiaomi 11 Pro / Ultra
courbet, Xiaomi 11 Lite
vayu, POCO X3 Pro
thyme, Xiaomi 10S
sweet, Redmi Note 10 Pro
camellian, Redmi Note 10 5G
rosemary, Redmi Note 10S
mojito, Redmi Note 10
haydn, Redmi K40 Pro / Pro+ / Xiaomi 11i / Xiaomi 11X Pro
alioth, Redmi K40 / POCO F3
venus, Xiaomi 11
cannong, Redmi Note 9T 5G
gauguin, Redmi Note 9 Pro 5G / Xiaomi 10T Lite
cannon, Redmi Note 9 5G
lime, Redmi Note 9 4G / Redmi 9T
citrus, POCO M3
apollo, Redmi K30S 至尊纪念版 / Xiaomi 10T / 10T Pro
angelicain, POCO C3
shiva, POCO M2
surya, POCO X3 NFC
angelican, Redmi 9C NFC
cattail, Redmi 9 (India)
cas, Xiaomi 10 至尊纪念版
cezanne, Redmi K30 至尊纪念版
gram, POCO M2 Pro
dandelion, Redmi 9A / 9AT
angelica, Redmi 9C
lancelot, Redmi 9
toco, Xiaomi Note10 Lite
bomb, Redmi 10X Pro
atom, Redmi 10X 5G
picasso_48m, Redmi K30i 5G
merlin, Redmi 10X 4G / Redmi Note 9
vangogh, Xiaomi 10 青春版
monet, Xiaomi 10 Lite
lmi, Redmi K30 Pro / 变焦版 / POCO F2 Pro
excalibur, Redmi Note 9 Pro Max
curtana, Redmi Note 9S / Pro (India)
joyeuse, Redmi Note9 Pro
cmi, Xiaomi 10 Pro
umi, Xiaomi 10
olivewood, Redmi 8A Pro / Redmi 8A Dual
phoenixin, POCO X2 印度版
picasso, Redmi K30 5G
phoenix, Redmi K30 4G / POCO X2
willow, Redmi Note 8T
tucana, Xiaomi CC9 Pro / Xiaomi Note 10
begoniain, Redmi Note 8 Pro 印度版
olive, Redmi 8
olivelite, Redmi 8A
crux, Xiaomi 9 Pro 5G
raphaels, Redmi K20 Pro 尊享版
begonia, Redmi Note 8 Pro
ginkgo, Redmi Note 8
laurel, Xiaomi A3
laurus, Xiaomi CC9e
pyxis, Xiaomi CC9 / Xiaomi 9 Lite
vela, Xiaomi CC9 美图定制版
davinciin, Redmi K20 / Xiaomi 9T 印度版
davinci, Redmi K20 / Xiaomi 9T
raphael, Redmi K20 Pro / Xiaomi 9T Pro
raphaelin, Redmi K20 Pro 印度版
pine, Redmi 7A
onc, Redmi Y3
onclite, Redmi 7
andromeda, Xiaomi MIX 3 5G
cepheus, Xiaomi 9
grus, Xiaomi 9 SE
tiare, Redmi Go
lavender, Redmi Note 7
violet, Redmi Note 7 Pro
lotus, Xiaomi Play
tulip, Redmi Note 6 Pro
perseus, Xiaomi MIX 3
platina, Xiaomi 8 Lite
sakura, Redmi 6 Pro
beryllium, POCO F1
clover, Xiaomi Pad 4/Plus
daisy, Xiaomi A2 Lite
jasmine, Xiaomi A2
nitrogen, Xiaomi Max 3
cactus, Redmi 6A
cereus, Redmi 6
dipper, Xiaomi 8
equuleus, Xiaomi 8 Pro 屏幕指纹版
sirius, Xiaomi 8 SE
ursa, Xiaomi 8 透明探索版
ysl, Redmi S2 / Redmi Y2
wayne, Xiaomi 6X
polaris, Xiaomi MIX 2S
whyred, Redmi Note 5 / Pro
rosy, Redmi 5
vince, Redmi 5 Plus
riva, Redmi 5A
chiron, Xiaomi MIX 2
jason, Xiaomi Note 3
tissot, Xiaomi A1
ugg, Redmi Note 5A 高配版
uglite, Redmi Note 5A 标准版
tiffany, Xiaomi 5X
oxygen, Xiaomi Max 2
sagit, Xiaomi 6
cappu, Xiaomi Pad 3
meri, Xiaomi 5C
santoni, Redmi 4X
mido, Redmi Note 4X 高通版
nikel, Redmi Note 4 联发科版
markw, Redmi 4 高配版
prada, Redmi 4 标准版
rolex, Redmi 4A
lithium, Xiaomi MIX
scorpio, Xiaomi Note 2
capricorn, Xiaomi 5S
natrium, Xiaomi 5S Plus
omega, Redmi Pro
land, Redmi 3S
helium, Xiaomi Max 高配版
hydrogen, Xiaomi Max 标准版
aqua, Xiaomi 4S
gemini, Xiaomi 5
ido, Redmi 3 / Pro
kate, Redmi Note 3 台湾特别版
kenzo, Redmi Note 3 全网通版
hennessy, Redmi Note 3 双网通版
latte, Xiaomi Pad 2
libra, Xiaomi 4C
hermes, Redmi Note 2
ferrari, Xiaomi 4i
lte26007, Redmi 2A 标准版
leo, Xiaomi Note 顶配版
virgo, Xiaomi Note 双网通 / 全网通
wt86047, Redmi 手机2 增强版
wt88047, Redmi 手机2
dior, Redmi Note 4G单卡版
gucci, Redmi Note 4G双卡版
cancro, Xiaomi 3 / Xiaomi 4
armani, Redmi 手机1S
HM2014011, Redmi 手机1S 移动3G版
HM2014501, Redmi 手机1S 移动4G版
mocha, Xiaomi Pad 1
lcsh92, Redmi Note
taurus, Xiaomi 2A
pisces, Xiaomi 3 移动版
HM2013023, Redmi 手机
aries, Xiaomi 2S
mione, Xiaomi 1S
